,pl_name,pl_rade,pl_eqt,pl_orbsmax,st_teff,st_lum,T_ast,Seff_rg,Seff_mxg,d_rg,d_mxg
161,HATS-13 b,12.98284421,1159.66,0.04057,5523.0,,-257.0,1.0075751413963392,0.3355475590831837,,
162,HATS-14 b,11.96644494,1242.79,0.03815,5346.0,,-434.0,0.9877551860612189,0.3253851260683876,,
163,HATS-15 b,16.60447595,1626.0,0.02712,5216.5,-0.20412,-563.5,0.9741397002294039,0.31814376990990917,0.8009942131469766,1.4016135536458147
164,HATS-16 b,14.30968011,1512.18,0.03744,5738.0,0.17319,-42.0,1.0332948157439452,0.34820089219276223,1.2008337204622637,2.0686168609005984
165,HATS-17 b,9.1955765,800.5,0.1308,5846.0,0.09342,66.0,1.0467823817571276,0.3546385515610916,1.0883831204473757,1.8698941707744166
166,HATS-18 b,15.28477068,2012.83,0.017505,5600.0,-0.03152,-180.0,1.016595314969264,0.34004707541772,0.9564580969310342,1.6537523638885272
167,HATS-2 b,12.9640467,1514.33,0.023085,5227.0,-0.268,-553.0,0.9752141281763058,0.31872403926331494,0.7437894394220133,1.3010458137598448
168,HATS-22 b,11.38598875,843.2,0.05025,4803.0,-0.64589,-977.0,0.9362767282516437,0.2964170570593829,0.49130692498617135,0.8731792454531585
169,HATS-23 b,20.84874,1654.0,0.03397,5780.0,0.15534,0.0,1.0385,0.3507,1.1734558369763297,2.0193059133029703
170,HATS-24 b,16.06226726,2024.22,0.024635,6272.33,0.24113,492.3299999999999,1.1023524638498663,0.38004779058053484,1.2572011263537657,2.141144087449465
171,HATS-25 b,14.20630044,1227.43,0.05163,5715.0,0.06819,-65.0,1.030467401066333,0.346835304906388,1.0655599070902386,1.8366793818011264
172,HATS-26 b,18.71187062,1835.97,0.04735,6071.0,0.70415,291.0,1.0757836312039597,0.3681008816339463,2.168765190551099,3.707588882220312
173,HATS-27 b,16.05902325,1601.42,0.0611,6438.0,0.66932,658.0,1.12428369748316,0.3896720161792055,2.038083830086831,3.46186709425007
174,HATS-28 b,13.383546,1253.0,0.04131,5498.0,-0.15739,-282.0,1.0046962201408147,0.3340959883486848,0.8323147973317884,1.4433423993351548
175,HATS-29 b,13.74222241,1221.0,0.05475,5719.5,0.02938,-60.5,1.031019270735567,0.3471023048428162,1.0187241662135875,1.7557442356802413
176,HATS-3 b,15.0309205,1576.43,0.0485,6351.0,0.456,571.0,1.1127804140067719,0.3846489689886523,1.6024897616190519,2.7256351020633742
177,HATS-30 b,14.04390029,1367.33,0.04354,5943.0,0.09691,163.0,1.0591572070179438,0.3604422189242855,1.08636255328602,1.8622465256904044
178,HATS-31 b,16.35771756,1720.46,0.0478,6081.5,0.61909,301.5,1.077159394995984,0.3687279666666911,1.9651921159338308,3.358860450702827
179,HATS-32 b,13.03292081,1353.45,0.04024,5700.0,0.0569,-80.0,1.028632553938944,0.34594597018112005,1.0527369528394979,1.8152893594929573
180,HATS-33 b,13.35209941,1383.43,0.03727,5659.0,-0.01773,-121.0,1.0236553239106179,0.3435207363709048,0.9684074576411102,1.6717006871508484
181,HATS-34 b,14.55787102,1376.52,0.03166,5380.0,-0.14026,-400.0,0.99145769984,0.3273151904,0.8545410009343055,1.4872600746606868
182,HATS-35 b,16.034638,1997.5,0.03199,6227.5,0.46538,447.5,1.096412357509836,0.377405536078932,1.631935685064537,2.7815435679086833
183,HATS-36 b,13.49084133,1248.18,0.053275,5986.0,0.21484,206.0,1.0647095420321844,0.3630167546019478,1.2410932878978473,2.1254782494442988
184,HATS-37 A b,6.792654,1085.0,0.04913,5326.0,-0.25571,-454.0,0.985601544641574,0.32425515902186813,0.7504025691659337,1.3082825618397997
